,Date,State,Total_cases,Total_death,Total_recovered,Death_percent,Recovery_percent
0,2020-01,AK,0.0,0.0,0.0,0.0,0.0
1,2020-01,AL,7.5,0.0,7.5,0.0,100.0
2,2020-01,AR,0.0,0.0,0.0,0.0,0.0
3,2020-01,AS,0.0,0.0,0.0,0.0,0.0
4,2020-01,AZ,0.6,0.0,0.6,0.0,100.0
5,2020-01,CA,1.3,0.0,1.3,0.0,100.0
6,2020-01,CO,0.0,0.0,0.0,0.0,0.0
7,2020-01,CT,0.0,0.0,0.0,0.0,0.0
8,2020-01,DC,0.0,0.0,0.0,0.0,0.0
9,2020-01,DE,0.0,0.0,0.0,0.0,0.0
10,2020-01,FL,0.0,0.0,0.0,0.0,0.0
11,2020-01,FSM,0.0,0.0,0.0,0.0,0.0
12,2020-01,GA,0.0,0.0,0.0,0.0,0.0
13,2020-01,GU,0.0,0.0,0.0,0.0,0.0
14,2020-01,HI,0.0,0.0,0.0,0.0,0.0
15,2020-01,IA,0.0,0.0,0.0,0.0,0.0
16,2020-01,ID,0.0,0.0,0.0,0.0,0.0
17,2020-01,IL,0.9,0.0,0.9,0.0,100.0
18,2020-01,IN,0.0,0.0,0.0,0.0,0.0
19,2020-01,KS,0.0,0.0,0.0,0.0,0.0
20,2020-01,KY,0.0,0.0,0.0,0.0,0.0
21,2020-01,LA,0.0,0.0,0.0,0.0,0.0
22,2020-01,MA,0.0,0.0,0.0,0.0,0.0
23,2020-01,MD,0.0,0.0,0.0,0.0,0.0
24,2020-01,ME,0.0,0.0,0.0,0.0,0.0
25,2020-01,MI,0.0,0.0,0.0,0.0,0.0
26,2020-01,MN,0.0,0.0,0.0,0.0,0.0
27,2020-01,MO,0.0,0.0,0.0,0.0,0.0
28,2020-01,MP,0.0,0.0,0.0,0.0,0.0
29,2020-01,MS,0.0,0.0,0.0,0.0,0.0
30,2020-01,MT,0.0,0.0,0.0,0.0,0.0
31,2020-01,NC,0.0,0.0,0.0,0.0,0.0
32,2020-01,ND,0.0,0.0,0.0,0.0,0.0
33,2020-01,NE,0.0,0.0,0.0,0.0,0.0
34,2020-01,NH,0.0,0.0,0.0,0.0,0.0
35,2020-01,NJ,0.0,0.0,0.0,0.0,0.0
36,2020-01,NM,0.0,0.0,0.0,0.0,0.0
37,2020-01,NV,0.0,0.0,0.0,0.0,0.0
38,2020-01,NY,0.0,0.0,0.0,0.0,0.0
39,2020-01,NYC,0.0,0.0,0.0,0.0,0.0
40,2020-01,OH,0.0,0.0,0.0,0.0,0.0
41,2020-01,OK,0.0,0.0,0.0,0.0,0.0
42,2020-01,OR,0.0,0.0,0.0,0.0,0.0
43,2020-01,PA,0.0,0.0,0.0,0.0,0.0
44,2020-01,PR,0.0,0.0,0.0,0.0,0.0
45,2020-01,PW,0.0,0.0,0.0,0.0,0.0
46,2020-01,RI,0.0,0.0,0.0,0.0,0.0
47,2020-01,RMI,0.0,0.0,0.0,0.0,0.0
48,2020-01,SC,0.0,0.0,0.0,0.0,0.0
49,2020-01,SD,0.0,0.0,0.0,0.0,0.0
50,2020-01,TN,0.0,0.0,0.0,0.0,0.0
51,2020-01,TX,0.0,0.0,0.0,0.0,0.0
52,2020-01,UT,0.0,0.0,0.0,0.0,0.0
53,2020-01,VA,0.0,0.0,0.0,0.0,0.0
54,2020-01,VI,0.0,0.0,0.0,0.0,0.0
55,2020-01,VT,0.0,0.0,0.0,0.0,0.0
56,2020-01,WA,0.9,0.0,0.9,0.0,100.0
57,2020-01,WI,0.0,0.0,0.0,0.0,0.0
58,2020-01,WV,0.0,0.0,0.0,0.0,0.0
59,2020-01,WY,0.0,0.0,0.0,0.0,0.0
60,2020-02,AK,0.0,0.0,0.0,0.0,0.0
61,2020-02,AL,21.83,0.1,21.72,0.46,99.5
62,2020-02,AR,0.0,0.0,0.0,0.0,0.0
63,2020-02,AS,0.0,0.0,0.0,0.0,0.0
64,2020-02,AZ,1.0,0.0,1.0,0.0,100.0
65,2020-02,CA,592.79,231.1,361.69,38.99,61.01
66,2020-02,CO,0.0,0.0,0.0,0.0,0.0
67,2020-02,CT,0.0,0.0,0.0,0.0,0.0
68,2020-02,DC,0.0,0.0,0.0,0.0,0.0
69,2020-02,DE,0.0,0.0,0.0,0.0,0.0
70,2020-02,FL,0.0,0.0,0.0,0.0,0.0
71,2020-02,FSM,0.0,0.0,0.0,0.0,0.0
72,2020-02,GA,0.07,0.0,0.07,0.0,100.0
73,2020-02,GU,0.0,0.0,0.0,0.0,0.0
74,2020-02,HI,0.0,0.0,0.0,0.0,0.0
75,2020-02,IA,0.0,0.0,0.0,0.0,0.0
76,2020-02,ID,0.0,0.0,0.0,0.0,0.0
77,2020-02,IL,2.0,0.0,2.0,0.0,100.0
78,2020-02,IN,0.0,0.0,0.0,0.0,0.0
79,2020-02,KS,0.0,0.0,0.0,0.0,0.0
80,2020-02,KY,0.0,0.0,0.0,0.0,0.0
81,2020-02,LA,0.0,0.0,0.0,0.0,0.0
82,2020-02,MA,1.0,0.0,1.0,0.0,100.0
83,2020-02,MD,0.0,0.0,0.0,0.0,0.0
84,2020-02,ME,0.0,0.0,0.0,0.0,0.0
85,2020-02,MI,0.0,0.0,0.0,0.0,0.0
86,2020-02,MN,0.0,0.0,0.0,0.0,0.0
87,2020-02,MO,0.0,0.0,0.0,0.0,0.0
88,2020-02,MP,0.0,0.0,0.0,0.0,0.0
89,2020-02,MS,0.0,0.0,0.0,0.0,0.0
90,2020-02,MT,0.0,0.0,0.0,0.0,0.0
91,2020-02,NC,0.0,0.0,0.0,0.0,0.0
92,2020-02,ND,0.0,0.0,0.0,0.0,0.0
93,2020-02,NE,0.0,0.0,0.0,0.0,0.0
94,2020-02,NH,0.0,0.0,0.0,0.0,0.0
95,2020-02,NJ,0.0,0.0,0.0,0.0,0.0
96,2020-02,NM,0.0,0.0,0.0,0.0,0.0
97,2020-02,NV,0.0,0.0,0.0,0.0,0.0
98,2020-02,NY,0.0,0.0,0.0,0.0,0.0
99,2020-02,NYC,0.0,0.0,0.0,0.0,0.0
100,2020-02,OH,0.0,0.0,0.0,0.0,0.0
101,2020-02,OK,5.62,0.0,5.62,0.0,100.0
102,2020-02,OR,0.03,0.0,0.03,0.0,100.0
103,2020-02,PA,0.0,0.0,0.0,0.0,0.0
104,2020-02,PR,0.0,0.0,0.0,0.0,0.0
105,2020-02,PW,0.0,0.0,0.0,0.0,0.0
106,2020-02,RI,0.0,0.0,0.0,0.0,0.0
107,2020-02,RMI,0.0,0.0,0.0,0.0,0.0
108,2020-02,SC,0.0,0.0,0.0,0.0,0.0
109,2020-02,SD,0.0,0.0,0.0,0.0,0.0
110,2020-02,TN,0.0,0.0,0.0,0.0,0.0
111,2020-02,TX,0.0,0.0,0.0,0.0,0.0
112,2020-02,UT,0.0,0.0,0.0,0.0,0.0
113,2020-02,VA,0.0,0.0,0.0,0.0,0.0
114,2020-02,VI,0.0,0.0,0.0,0.0,0.0
115,2020-02,VT,0.0,0.0,0.0,0.0,0.0
116,2020-02,WA,1.0,0.03,0.97,3.0,97.0
117,2020-02,WI,0.0,0.0,0.0,0.0,0.0
118,2020-02,WV,0.0,0.0,0.0,0.0,0.0
119,2020-02,WY,0.0,0.0,0.0,0.0,0.0
120,2020-03,AK,25.58,1.16,24.42,4.53,95.47
121,2020-03,AL,958.55,7.87,950.68,0.82,99.18
122,2020-03,AR,127.48,1.16,126.32,0.91,99.09
123,2020-03,AS,0.0,0.0,0.0,0.0,0.0
124,2020-03,AZ,219.55,3.68,215.87,1.68,98.32
125,2020-03,CA,6470.68,289.52,6181.16,4.47,95.53
126,2020-03,CO,588.03,10.52,577.52,1.79,98.21
127,2020-03,CT,470.61,9.1,461.52,1.93,98.07
128,2020-03,DC,107.81,1.61,106.19,1.49,98.5
129,2020-03,DE,77.52,1.03,76.48,1.33,98.66
130,2020-03,FL,1126.03,31.9,1094.13,2.83,97.17
131,2020-03,FSM,0.0,0.0,0.0,0.0,0.0
132,2020-03,GA,814.42,23.26,791.16,2.86,97.14
133,2020-03,GU,17.03,0.35,16.68,2.06,97.94
134,2020-03,HI,61.1,0.03,61.06,0.05,99.93
135,2020-03,IA,89.94,0.81,89.13,0.9,99.1
136,2020-03,ID,75.61,1.1,74.52,1.45,98.56
137,2020-03,IL,1065.61,13.45,1052.16,1.26,98.74
138,2020-03,IN,324.16,20.26,303.9,6.25,93.75
139,2020-03,KS,74.16,1.74,72.42,2.35,97.65
140,2020-03,KY,174.13,4.39,169.74,2.52,97.48
141,2020-03,LA,941.29,37.29,904.0,3.96,96.04
142,2020-03,MA,1108.19,21.26,1086.94,1.92,98.08
143,2020-03,MD,305.03,5.68,299.35,1.86,98.14
144,2020-03,ME,69.48,0.48,69.0,0.69,99.31
145,2020-03,MI,5840.81,78.06,5762.74,1.34,98.66
146,2020-03,MN,158.42,1.81,156.61,1.14,98.86
147,2020-03,MO,516.74,5.58,511.16,1.08,98.92
148,2020-03,MP,0.13,0.0,0.13,0.0,100.0
149,2020-03,MS,692.58,51.0,641.58,7.36,92.64
150,2020-03,MT,38.9,0.45,38.45,1.16,98.84
151,2020-03,NC,612.84,2.03,610.81,0.33,99.67
152,2020-03,ND,25.39,0.29,25.1,1.14,98.86
153,2020-03,NE,39.71,0.35,39.35,0.88,99.09
154,2020-03,NH,71.87,0.55,71.32,0.77,99.23
155,2020-03,NJ,2983.03,37.45,2945.58,1.26,98.74
156,2020-03,NM,63.61,0.68,62.94,1.07,98.95
157,2020-03,NV,212.84,4.35,208.48,2.04,97.95
158,2020-03,NY,6323.03,30.26,6292.77,0.48,99.52
159,2020-03,NYC,12747.74,230.23,12517.52,1.81,98.19
160,2020-03,OH,388.84,6.87,381.97,1.77,98.23
161,2020-03,OK,581.55,6.19,575.35,1.06,98.93
162,2020-03,OR,148.45,4.1,144.35,2.76,97.24
163,2020-03,PA,788.03,8.0,780.03,1.02,98.98
164,2020-03,PR,78.52,3.84,74.68,4.89,95.11
165,2020-03,PW,0.0,0.0,0.0,0.0,0.0
166,2020-03,RI,90.19,0.97,89.23,1.08,98.94
167,2020-03,RMI,0.0,0.0,0.0,0.0,0.0
168,2020-03,SC,190.52,4.0,186.52,2.1,97.9
169,2020-03,SD,23.0,0.68,22.32,2.96,97.04
170,2020-03,TN,797.35,3.58,793.77,0.45,99.55
171,2020-03,TX,548.48,16.48,532.0,3.0,97.0
172,2020-03,UT,177.9,0.74,177.16,0.42,99.58
173,2020-03,VA,246.55,5.74,240.81,2.33,97.67
174,2020-03,VI,7.52,0.0,7.52,0.0,100.0
175,2020-03,VT,53.1,3.26,49.84,6.14,93.86
176,2020-03,WA,1450.48,72.94,1377.55,5.03,94.97
177,2020-03,WI,287.26,3.35,283.9,1.17,98.83
178,2020-03,WV,28.06,0.1,27.97,0.36,99.68
179,2020-03,WY,23.84,0.0,23.84,0.0,100.0
180,2020-04,AK,276.33,8.37,267.97,3.03,96.97
181,2020-04,AL,6142.87,207.53,5935.33,3.38,96.62
182,2020-04,AR,1770.57,33.6,1736.97,1.9,98.1
183,2020-04,AS,0.0,0.0,0.0,0.0,0.0
184,2020-04,AZ,4288.47,158.3,4130.17,3.69,96.31
185,2020-04,CA,39076.4,1360.47,37715.93,3.48,96.52
186,2020-04,CO,8964.57,390.1,8574.47,4.35,95.65
187,2020-04,CT,15559.9,989.47,14570.43,6.36,93.64
188,2020-04,DC,2365.0,88.37,2276.63,3.74,96.26
189,2020-04,DE,2455.5,63.17,2392.33,2.57,97.43
190,2020-04,FL,21763.37,815.0,20948.37,3.74,96.26
191,2020-04,FSM,0.0,0.0,0.0,0.0,0.0
192,2020-04,GA,15103.9,603.2,14500.7,3.99,96.01
193,2020-04,GU,127.6,4.6,123.0,3.61,96.39
194,2020-04,HI,516.73,9.2,507.53,1.78,98.22
195,2020-04,IA,2787.27,65.2,2722.07,2.34,97.66
196,2020-04,ID,1526.73,36.57,1490.17,2.4,97.61
197,2020-04,IL,26743.9,1080.33,25663.57,4.04,95.96
198,2020-04,IN,9653.93,681.33,8972.6,7.06,92.94
199,2020-04,KS,1828.33,73.8,1754.53,4.04,95.96
200,2020-04,KY,2699.03,149.67,2549.37,5.55,94.46
201,2020-04,LA,20850.3,1091.63,19758.67,5.24,94.76
202,2020-04,MA,32613.5,1853.57,30759.93,5.68,94.32
203,2020-04,MD,11389.5,538.07,10851.43,4.72,95.28
204,2020-04,ME,748.77,28.2,720.57,3.77,96.23
205,2020-04,MI,37841.0,2694.13,35146.87,7.12,92.88
206,2020-04,MN,2273.47,133.57,2139.9,5.88,94.12
207,2020-04,MO,5644.77,241.1,5403.67,4.27,95.73
208,2020-04,MP,11.43,1.7,9.73,14.87,85.13
209,2020-04,MS,5097.37,355.3,4742.07,6.97,93.03
210,2020-04,MT,388.2,9.47,378.73,2.44,97.56
211,2020-04,NC,6421.03,192.73,6228.3,3.0,97.0
212,2020-04,ND,494.17,9.8,484.37,1.98,98.02
213,2020-04,NE,1494.4,28.63,1465.77,1.92,98.08
214,2020-04,NH,1226.3,33.63,1192.67,2.74,97.26
215,2020-04,NJ,72888.47,3423.53,69464.93,4.7,95.3
216,2020-04,NM,1647.3,64.43,1582.87,3.91,96.09
217,2020-04,NV,3241.13,136.13,3105.0,4.2,95.8
218,2020-04,NY,93130.87,2983.63,90147.23,3.2,96.8
219,2020-04,NYC,126771.13,11383.27,115387.87,8.98,91.02
220,2020-04,OH,9569.0,416.87,9152.13,4.36,95.64
221,2020-04,OK,3038.07,141.37,2896.7,4.65,95.35
222,2020-04,OR,1682.7,60.93,1621.77,3.62,96.38
223,2020-04,PA,27525.27,879.17,26646.1,3.19,96.81
224,2020-04,PR,890.23,66.73,823.5,7.5,92.5
225,2020-04,PW,0.0,0.0,0.0,0.0,0.0
226,2020-04,RI,4095.3,140.7,3954.6,3.44,96.56
227,2020-04,RMI,0.0,0.0,0.0,0.0,0.0
228,2020-04,SC,3713.4,132.8,3580.6,3.58,96.42
229,2020-04,SD,1213.6,7.07,1206.53,0.58,99.42
230,2020-04,TN,7085.4,140.73,6944.67,1.99,98.01
231,2020-04,TX,15841.33,541.17,15300.17,3.42,96.58
232,2020-04,UT,2788.83,24.73,2764.1,0.89,99.11
233,2020-04,VA,7873.0,249.7,7623.3,3.17,96.83
234,2020-04,VI,50.83,1.93,48.9,3.8,96.2
235,2020-04,VT,653.67,33.5,620.17,5.12,94.88
236,2020-04,WA,10573.8,557.37,10016.43,5.27,94.73
237,2020-04,WI,3958.23,177.43,3780.8,4.48,95.52
238,2020-04,WV,707.1,17.03,690.07,2.41,97.59
239,2020-04,WY,361.4,2.73,358.67,0.76,99.24
240,2020-05,AK,395.74,10.68,385.06,2.7,97.3
241,2020-05,AL,14764.26,636.9,14127.35,4.31,95.69
242,2020-05,AR,4846.23,101.26,4744.97,2.09,97.91
243,2020-05,AS,0.0,0.0,0.0,0.0,0.0
244,2020-05,AZ,13455.13,640.61,12814.52,4.76,95.24
245,2020-05,CA,95953.55,3688.61,92264.94,3.84,96.16
246,2020-05,CO,21771.65,1148.26,20623.39,5.27,94.73
247,2020-05,CT,36265.1,3260.42,33004.68,8.99,91.01
248,2020-05,DC,6938.9,364.39,6574.52,5.25,94.75
249,2020-05,DE,7804.06,274.68,7529.39,3.52,96.48
250,2020-05,FL,44212.0,2128.0,42084.0,4.81,95.19
251,2020-05,FSM,0.0,0.0,0.0,0.0,0.0
252,2020-05,GA,35399.71,1591.35,33808.35,4.5,95.5
253,2020-05,GU,158.23,5.0,153.23,3.16,96.84
254,2020-05,HI,627.77,16.94,610.84,2.7,97.3
255,2020-05,IA,14198.61,345.9,13852.71,2.44,97.56
256,2020-05,ID,2420.26,73.06,2347.19,3.02,96.98
257,2020-05,IL,90881.55,4007.45,86874.1,4.41,95.59
258,2020-05,IN,27040.81,1873.61,25167.19,6.93,93.07
259,2020-05,KS,7637.65,169.42,7468.23,2.22,97.78
260,2020-05,KY,7973.84,403.13,7570.71,5.06,94.94
261,2020-05,LA,34218.61,2441.32,31777.29,7.13,92.87
262,2020-05,MA,83309.52,6020.84,77288.68,7.23,92.77
263,2020-05,MD,38994.32,2042.81,36951.52,5.24,94.76
264,2020-05,ME,1709.84,71.0,1638.84,4.15,95.85
265,2020-05,MI,78805.45,5382.87,73422.58,6.83,93.17
266,2020-05,MN,15463.74,715.26,14748.48,4.63,95.37
267,2020-05,MO,11360.94,723.1,10637.84,6.36,93.64
268,2020-05,MP,18.74,2.0,16.74,10.67,89.33
269,2020-05,MS,12885.87,820.39,12065.48,6.37,93.63
270,2020-05,MT,471.61,16.19,455.42,3.43,96.57
271,2020-05,NC,20135.13,701.55,19433.58,3.48,96.52
